"module name","license","repository"
"@smithy/node-http-handler@4.0.6","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/property-provider@4.0.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/protocol-http@5.1.2","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/querystring-builder@4.0.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/querystring-parser@4.0.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/service-error-classification@4.0.5","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/shared-ini-file-loader@4.0.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/signature-v4@5.1.2","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/smithy-client@4.4.3","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/types@4.3.1","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/url-parser@4.0.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/util-base64@4.0.0","Apache-2.0","https://github.com/awslabs/smithy-typescript"
"@smithy/util-body-length-browser@4.0.0","Apache-2.0","https://github.com/awslabs/smithy-typescript"
"@smithy/util-body-length-node@4.0.0","Apache-2.0","https://github.com/awslabs/smithy-typescript"
"@smithy/util-buffer-from@2.2.0","Apache-2.0","https://github.com/awslabs/smithy-typescript"
"@smithy/util-buffer-from@4.0.0","Apache-2.0","https://github.com/awslabs/smithy-typescript"
"@smithy/util-config-provider@4.0.0","Apache-2.0","https://github.com/awslabs/smithy-typescript"
"@smithy/util-defaults-mode-browser@4.0.19","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/util-defaults-mode-node@4.0.19","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/util-endpoints@3.0.6","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/util-hex-encoding@4.0.0","Apache-2.0","https://github.com/awslabs/smithy-typescript"
"@smithy/util-middleware@4.0.4","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/util-retry@4.0.5","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/util-stream@4.2.2","Apache-2.0","https://github.com/smithy-lang/smithy-typescript"
"@smithy/util-uri-escape@4.0.0","Apache-2.0","https://github.com/awslabs/smithy-typescript"
"@smithy/util-utf8@2.3.0","Apache-2.0","https://github.com/awslabs/smithy-typescript"
"@smithy/util-utf8@4.0.0","Apache-2.0","https://github.com/awslabs/smithy-typescript"
"@swc/helpers@0.5.17","Apache-2.0","https://github.com/swc-project/swc"
"@tanstack/react-virtual@3.13.10","MIT","https://github.com/TanStack/virtual"
"@tanstack/virtual-core@3.13.10","MIT","https://github.com/TanStack/virtual"
"@types/babel__core@7.20.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__generator@7.27.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__template@7.4.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__traverse@7.20.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-array@3.2.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-axis@3.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-brush@3.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-chord@3.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-color@3.1.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-contour@3.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-delaunay@6.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-dispatch@3.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-drag@3.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-dsv@3.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-ease@3.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
